studyProgram,targetDegree,courseName,additionalExcercises,bonusPoints,organization,pacing,overallQuality,satisfaction,previousKnowledge,difficulty,examStyle,materials,grade,recommendation
Angewandte Kognitions- und Medienwissenschaften,Master,Fortgeschrittene Programmiertechniken,Yes,Yes,Good,Good,Good,Agree,Neutral,hard,written,presentation sheets,1,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,Electronic Buisness,Yes,Yes,Fair,Fair,Fair,Disagree,Disagree,low,written,presentation sheets,1.3,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,Angewandte Kognitionspsychologie 2,No,No,Fair,Fair,Fair,Neutral,Neutral,low,written,presentation sheets,1.7,No
Angewandte Kognitions- und Medienwissenschaften,Master,Interactive Systems,Yes,Yes,Fair,Good,Good,Disagree,Disagree,low,written,presentation sheets,1,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,Recommender Systems,Yes,No,Good,Good,Good,Agree,Disagree,just right,written,presentation sheets,1.3,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,Fortgeschrittene Programmiertechniken,Yes,Yes,Good,Good,Good,Agree,Neutral,just right,written,"presentation sheets,books",1,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,Inferenzstatistik,Yes,No,Good,Fair,Good,Agree,Neutral,hard,written,"presentation sheets,books",1.7,Yes		
Angewandte Kognitions- und Medienwissenschaften,Master,Business Communications,No,No,Good,Good,Good,Agree,Neutral,just right,oral,presentation sheets,1.3,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,"Cloud, Web, Mobile",Yes,No,Good,Good,Good,Agree,Neutral,just right,written,"presentation sheets,video",1,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,Knowledge based Systems,Yes,No,Good,Fair,Good,Agree,Neutral,just right,oral,"presentation sheets,books",1,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,Internet Technology and web engineering,Yes,Yes,Good,Good,Good,Agree,Disagree,low,written,"presentation sheets,video",1,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,Recommender Systems,Yes,No,Good,Good,Good,Agree,Disagree,just right,written,presentation sheets,1.3,Yes
Computer Engineering,Master,Advance web,Yes,Yes,Good,Good,Good,Agree,Agree,just right,oral,"presentation sheets,other",1.7,Yes
Computer Engineering,Master,L.A,Yes,Yes,Good,Good,Good,Agree,Neutral,low,oral,presentation sheets,2.3,Yes
Computer Engineering,Master,Interactive system,Yes,No,Good,Good,Good,Agree,Neutral,hard,written,presentation sheets,2,Yes
Computer Engineering,Master,Social networks,Yes,Yes,Good,Good,Fair,Agree,Disagree,just right,written,"presentation sheets,video",2,Yes
Computer Engineering,Master,German language,Yes,Yes,Bad,Bad,Bad,Neutral,Neutral,just right,written,"presentation sheets,books",2,No
Computer Science,Master,Soft Computing,No,Yes,Bad,Fair,Fair,Disagree,Neutral,just right,oral,books,2.3,No
Logistic,Master,Arbeitswisenschaft,Yes,No,Fair,Fair,Fair,Disagree,Neutral,just right,written,"presentation sheets,books",3.5,Yes
Computer Engineering,Master,Information retrieval,Yes,No,Good,Fair,Good,Agree,Agree,just right,oral,presentation sheets,1.7,Yes
Computer Sciences,Master,Advance Web Technology,Yes,No,Fair,Good,Fair,Agree,Agree,hard,oral,"presentation sheetsbooks,video,audio",2.3,Yes
Interactive system,Master,Social network,No,Yes,Good,Fair,Good,Agree,Neutral,just right,written,"presentation sheets,video",2,Yes
Angewandte Kognitions- und Medienwissenschaften,Master,Grundlagen künstlicher Intelligenz,Yes,Yes,Good,Fair,Good,Neutral,Agree,hard,written,"presentation sheets,books",1.3,Yes
Angewandte Informatik,Master,Internet of Things,Yes,Yes,Good,Fair,Fair,Neutral,Agree,hard,written,presentation sheets,3.3,No
Angewandte Informatik,Master,Internet of Things,Yes,Yes,Good,Good,Fair,Neutral,Agree,just right,written,presentation sheets,3,No
